year,month,CarGroup,prenotazioni,revenue_tot,revenue_media
2025.0,1.0,CABRIOLET,12,1059.6,88.3
2025.0,1.0,ECONOMY,170,23814.34,140.08435294117646
2025.0,1.0,FURGONE,258,112888.73,437.55321705426354
2025.0,1.0,LARGE,126,26227.95,208.15833333333333
2025.0,1.0,MINI,74,10209.17,137.96175675675676
2025.0,1.0,N/D,39,11059.9,283.58717948717947
2025.0,1.0,PREMIUM,22,9013.51,409.705
2025.0,1.0,SMALL,122,19610.07,160.7382786885246
2025.0,1.0,STATION,20,3254.77,162.7385
2025.0,1.0,SUV,62,12742.51,205.52435483870968
2025.0,1.0,VAN,65,18050.35,277.6976923076923
2025.0,2.0,CABRIOLET,27,1714.73,63.50851851851852
2025.0,2.0,ECONOMY,161,19269.59,119.68689440993789
2025.0,2.0,FURGONE,178,81661.27,458.7711797752809
2025.0,2.0,LARGE,128,29822.9,232.99140625
2025.0,2.0,MINI,109,11288.93,103.56816513761468
2025.0,2.0,N/D,17,8056.27,473.8982352941177
2025.0,2.0,PREMIUM,20,6777.11,338.8555
2025.0,2.0,SMALL,149,17919.79,120.26704697986578
2025.0,2.0,STATION,29,2934.12,101.17655172413792
2025.0,2.0,SUV,61,7441.08,121.98491803278688
2025.0,2.0,VAN,103,15946.06,154.81611650485436
2025.0,3.0,CABRIOLET,36,3460.43,96.12305555555555
2025.0,3.0,ECONOMY,215,30505.37,141.8854418604651
2025.0,3.0,FURGONE,189,43985.13,232.72555555555553
2025.0,3.0,LARGE,207,42601.16,205.80270531400967
2025.0,3.0,MINI,117,14018.06,119.81247863247863
2025.0,3.0,N/D,22,2048.58,93.11727272727272
2025.0,3.0,PREMIUM,17,7090.31,417.07705882352946
2025.0,3.0,SMALL,239,35421.86,148.20861924686193
2025.0,3.0,STATION,44,9803.29,222.80204545454546
2025.0,3.0,SUV,97,14148.27,145.85845360824743
2025.0,3.0,VAN,111,20216.69,182.13234234234233
2025.0,4.0,CABRIOLET,47,7199.4,153.17872340425532
2025.0,4.0,ECONOMY,347,61936.16,178.49037463976947
2025.0,4.0,FURGONE,244,63323.26,259.5215573770492
2025.0,4.0,LARGE,387,100242.33,259.0241085271318
2025.0,4.0,MINI,205,31014.63,151.29087804878048
2025.0,4.0,N/D,23,3449.02,149.95739130434782
2025.0,4.0,PREMIUM,28,15435.68,551.2742857142857
2025.0,4.0,SMALL,277,44440.05,160.43339350180506
2025.0,4.0,STATION,60,13301.36,221.68933333333334
2025.0,4.0,SUV,100,29954.71,299.5471
2025.0,4.0,VAN,142,59298.54,417.59535211267604
2025.0,5.0,CABRIOLET,38,9285.2075,244.3475657894737
2025.0,5.0,ECONOMY,310,57947.72,186.92812903225806
2025.0,5.0,FURGONE,263,62483.590000000004,237.58019011406844
2025.0,5.0,LARGE,411,112237.03,273.082798053528
2025.0,5.0,MINI,170,28453.78,167.37517647058823
2025.0,5.0,N/D,22,4214.53,191.56954545454545
2025.0,5.0,PREMIUM,23,15602.85,678.3847826086957
2025.0,5.0,SMALL,200,36553.96,182.7698
2025.0,5.0,STATION,37,8748.86,236.45567567567568
2025.0,5.0,SUV,83,24094.318,290.2929879518072
2025.0,5.0,VAN,113,47065.36,416.507610619469
2025.0,6.0,CABRIOLET,46,10227.64,222.33999999999997
2025.0,6.0,ECONOMY,271,68016.08,250.9818450184502
2025.0,6.0,FURGONE,201,39141.04,194.73154228855722
2025.0,6.0,LARGE,355,98389.17,277.1525915492958
2025.0,6.0,MINI,171,35805.26,209.38748538011697
2025.0,6.0,N/D,9,1592.48,176.94222222222223
2025.0,6.0,PREMIUM,9,2339.37,259.93
2025.0,6.0,SMALL,188,41177.82,219.03095744680851
2025.0,6.0,STATION,33,16343.380000000001,495.25393939393945
2025.0,6.0,SUV,79,37913.18,479.913670886076
2025.0,6.0,VAN,105,57382.15,546.4966666666667
2025.0,7.0,CABRIOLET,43,10362.289999999999,240.983488372093
2025.0,7.0,ECONOMY,305,81403.36,266.89626229508195
2025.0,7.0,FURGONE,205,47826.76,233.30126829268295
2025.0,7.0,LARGE,427,159184.09,372.7964637002342
2025.0,7.0,MINI,151,41379.49,274.036357615894
2025.0,7.0,N/D,2,160.8,80.4
